date,home,away,match_id,home_score,away_score
2023-01-22 11:00:00,CTT CARDEDEU EIG,NEW OLIVER BADALONA,65,3,4
2023-01-22 11:00:00,CTT DELS HORTS,66 FALCONS DE SABADELL A.E.,2000,4,2
2023-01-29 10:00:00,ATT PREMIÀ DE MAR,FALCONS DE SABADELL A.E.,67,2,4
2023-01-28 11:00:00,CTT DELS HORTS,68 NEW OLIVER BADALONA C.Camp,2000,2,4
2023-01-29 11:00:00,CTT CARDEDEU EIG,CTT SENTMENAT,69,6,0
2023-01-28 18:00:00,EL CENTRE A,CTT ATENEU 1882,70,4,3
2023-01-29 10:30:00,CTT SANT QUINTÍ DE MEDIONA,LLUÏSOS DE GRÀCIA,71,4,3
2023-01-29 10:00:00,CTT ELS AMICS DE TERRASSA,BELLVITGE ALHEÑA,72,2,4
2023-02-05 10:00:00,CTT ELS AMICS DE TERRASSA,ATT PREMIÀ DE MAR,73,2,4
2023-02-05 11:00:00,BELLVITGE ALHEÑA,CTT SANT QUINTÍ DE MEDIONA,74,4,2
2023-02-05 11:00:00,LLUÏSOS DE GRÀCIA,EL CENTRE A,75,4,2
2023-02-05 11:00:00,CTT ATENEU,76 CTT CARDEDEU EIG,1882,6,0
2023-02-04 18:30:00,CTT SENTMENAT,CTT DELS HORTS 2000,77,6,0
2023-02-04 17:30:00,NEW OLIVER BADALONA,FALCONS DE SABADELL A.E.,78,6,0
2023-02-12 10:00:00,ATT PREMIÀ DE MAR,NEW OLIVER BADALONA,79,0,6
2023-02-12 10:00:00,FALCONS DE SABADELL A.E.,CTT SENTMENAT,80,5,1
2023-02-12 11:00:00,CTT DELS HORTS,81 CTT ATENEU 1882,2000,2,4
2023-02-12 11:00:00,CTT CARDEDEU EIG,LLUÏSOS DE GRÀCIA,82,3,4
2023-02-11 18:00:00,EL CENTRE A,BELLVITGE ALHEÑA,83,2,4
2023-02-12 10:30:00,CTT SANT QUINTÍ DE MEDIONA,CTT ELS AMICS DE TERRASSA,84,2,4
2023-02-19 10:30:00,CTT SANT QUINTÍ DE MEDIONA,ATT PREMIÀ DE MAR,85,5,1
2023-02-19 10:00:00,CTT ELS AMICS DE TERRASSA,EL CENTRE A,86,6,0
2023-02-18 18:00:00,BELLVITGE ALHEÑA,CTT CARDEDEU EIG,87,6,0
2023-02-19 11:00:00,LLUÏSOS DE GRÀCIA,CTT DELS HORTS 2000,88,1,5
2023-02-19 11:00:00,CTT ATENEU,89 FALCONS DE SABADELL A.E.,1882,4,2
2023-02-18 18:30:00,CTT SENTMENAT,NEW OLIVER BADALONA,90,3,4
2023-02-26 10:00:00,ATT PREMIÀ DE MAR,CTT SENTMENAT CdE,91,6,0
2023-03-24 20:30:00,NEW OLIVER BADALONA,CTT ATENEU 1882,92,2,4
2023-02-26 10:00:00,FALCONS DE SABADELL A.E.,LLUÏSOS DE GRÀCIA,93,5,1
2023-02-26 11:00:00,CTT DELS HORTS,94 BELLVITGE ALHEÑA,2000,0,6
2023-02-26 11:00:00,CTT CARDEDEU EIG,CTT ELS AMICS DE TERRASSA,95,2,4
2023-02-25 18:00:00,EL CENTRE A,CTT SANT QUINTÍ DE MEDIONA,96,4,2
2023-03-04 18:00:00,EL CENTRE A,ATT PREMIÀ DE MAR,97,4,3
2023-03-05 10:30:00,CTT SANT QUINTÍ DE MEDIONA,CTT CARDEDEU EIG,98,5,1
2023-03-05 10:00:00,CTT ELS AMICS DE TERRASSA,CTT DELS HORTS 2000,99,4,3
2023-03-05 11:00:00,BELLVITGE ALHEÑA,FALCONS DE SABADELL A.E.,100,4,2
2023-03-05 11:00:00,LLUÏSOS DE GRÀCIA,NEW OLIVER BADALONA,101,3,4
2023-03-04 11:00:00,CTT ATENEU,102 CTT SENTMENAT,1882,6,0
2023-03-12 10:00:00,ATT PREMIÀ DE MAR,CTT ATENEU 1882,103,1,5
2023-03-11 18:30:00,CTT SENTMENAT,LLUÏSOS DE GRÀCIA,104,4,2
2023-03-11 17:30:00,NEW OLIVER BADALONA,BELLVITGE ALHEÑA,105,4,3
